SITE;GUILD;s_site_mean;s_site_std;n_site_mean;n_site_std;c_site_mean;c_site_std;FAMILY;PR;CG;HB;CF;SH;PA;TAXON;GENUS_2;HERB;PLAN;DETR;INVE;PISC;BAYDIST_KM;STAID;LAT_GAGE;LNG_GAGE;PPTAVG_SITE;HIRES_LENTIC_DENS;NPDES_MAJ_DENS;RAW_DIS_NEAREST_MAJ_NPDES;RAW_DIS_NEAREST_DAM;ELEV_SITE_M;STANAME;LATITUDE;LONGITUDE;NEAREST_BAY;SULFUR;S_PERCENT;CARBON;NITROGEN;N_PERCENT;C_PERCENT;GENUS;MAX_FORKLENGTH;MY_REP;DETAILS;TRAY;UID;SOURCE_TYPE;SPECIES;TROPHIC_LEVEL;SITE_TYPE;MIGRANT;carbon_s;nitrogen_s;sulfur_s
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,00;0,98;-26,51117115;14,927034400;13,10;43,27;L;80;5;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_80_5;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,74;0,94;NA;NA;NA;NA;L;80;6;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_80_6;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;5,60;0,90;-26,27295255;14,723736960;11,83;39,31;L;120;1;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_120_1;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Chironomidae;1;1;1;1;1;1;Chironomidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-28,06521816;9,851981326;7,18;35,36;NA;NA;1;NA;NA;TERRG_2020_01_WM_Invertebrate_chironomid_NA_1;NA;NA;2;Stream;Potamodromous;0,646983673371354429;-0,38857808808732969;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Elmidae;1;1;1;0;1;0;Elmidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-34,12297936;10,628491790;11,68;50,02;NA;NA;2;NA;NA;TERRG_2020_01_WM_Invertebrate_elmid_NA_2;NA;NA;2;Stream;Potamodromous;-1,888622461040018186;0,06542547367184980;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Cambaridae;1;1;0;1;0;0;Cambaridae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,34;0,89;-29,53707526;10,290368180;12,55;43,56;NA;NA;1;NA;NA;TERRG_2020_01_WM_Invertebrate_cambarid_NA_1;NA;NA;2;Stream;Potamodromous;0,030906253261605805;-0,13226577502569764;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Cambaridae;1;1;0;1;0;0;Cambaridae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,35;0,75;-29,70797793;9,932298867;9,11;38,55;NA;NA;2;NA;NA;TERRG_2020_01_WM_Invertebrate_cambarid_NA_2;NA;NA;2;Stream;Potamodromous;-0,040628732046047784;-0,34161870843145076;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Cambaridae;1;1;0;1;0;0;Cambaridae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,46;0,82;-29,52690248;9,797140309;9,82;40,48;NA;NA;3;NA;NA;TERRG_2020_01_WM_Invertebrate_cambarid_NA_3;NA;NA;2;Stream;Potamodromous;0,035164288948456697;-0,42064206945371119;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Cambaridae;1;1;0;1;0;0;Cambaridae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-28,72427027;10,491088720;11,37;44,52;NA;NA;4;NA;NA;TERRG_2020_01_WM_Invertebrate_cambarid_NA_4;NA;NA;2;Stream;Potamodromous;0,371123249389510967;-0,01491018961760936;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Hyalellidae;0;1;0;1;0;0;Hyalellidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-30,08819933;8,867729098;7,89;42,23;NA;NA;1;NA;NA;TERRG_2020_01_WM_Invertebrate_hyalellid_NA_1;NA;NA;1;Stream;Potamodromous;-0,199778570153644336;-0,96404234503958208;0,00000000000000000
